Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Mirza Teletovic,Nets,2012-2013,REG,53,50.81,16.76,10.27,14.59,2.70,3.78,1.08,0.330,0.581,0.263,0.407,0.600,0.429,0.000
Viacheslav Kravtsov,Pistons,2012-2013,REG,25,0.00,0.00,6.52,93.48,0.00,0.00,0.00,0.000,0.000,0.333,0.744,0.000,0.000,0.000
Robert Sacre,Lakers,2012-2013,REG,32,0.00,29.17,33.33,37.50,0.00,0.00,0.00,0.000,0.286,0.313,0.500,0.000,0.000,0.000
Darius Johnson-Odom,Lakers,2012-2013,REG,4,25.00,25.00,25.00,25.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tornike Shengelia,Nets,2012-2013,REG,19,4.55,4.55,22.73,68.18,0.00,0.00,0.00,1.000,0.000,0.200,0.533,0.000,0.000,0.000
Kris Joseph,"Celtics, Nets",2012-2013,REG,10,21.43,50.00,0.00,28.57,0.00,0.00,0.00,0.000,0.000,0.000,0.500,0.000,0.000,0.000
Kyle O'Quinn,Magic,2012-2013,REG,57,0.51,34.52,19.29,45.69,0.00,0.00,0.00,0.000,0.456,0.421,0.600,0.000,0.000,0.000
Kevin Murphy,Jazz,2012-2013,REG,17,17.86,57.14,14.29,10.71,0.00,0.00,0.00,0.200,0.063,0.500,1.000,0.000,0.000,0.000
Darius Miller,Hornets,2012-2013,REG,52,29.63,16.67,17.59,13.89,10.19,12.04,0.00,0.438,0.444,0.211,0.667,0.364,0.308,0.000
